candidate,county,party,percentage,popular_vote,state,summary_level
 J. Bush,Worcester County,REPUBLICAN,1.2%,"1,018",massachusetts,county
 No Preference,Worcester County,REPUBLICAN,0.6%,483,massachusetts,county
 R. Paul,Worcester County,REPUBLICAN,0.3%,293,massachusetts,county
 C. Christie,Worcester County,REPUBLICAN,0.3%,273,massachusetts,county
 C. Fiorina,Worcester County,REPUBLICAN,0.2%,161,massachusetts,county
 M. Huckabee,Worcester County,REPUBLICAN,0.1%,118,massachusetts,county
 J. Gilmore,Worcester County,REPUBLICAN,0.1%,93,massachusetts,county
 G. Pataki,Worcester County,REPUBLICAN,0.0%,41,massachusetts,county
 R. Santorum,Worcester County,REPUBLICAN,0.0%,40,massachusetts,county
H. Clinton,Arkansas County,DEMOCRAT,83.3%,724,arkansas,county
B. Sanders,Arkansas County,DEMOCRAT,15.2%,132,arkansas,county
M. O'Malley,Arkansas County,DEMOCRAT,0.6%,5,arkansas,county
R. De La Fuente,Arkansas County,DEMOCRAT,0.5%,4,arkansas,county
J. Valentine,Arkansas County,DEMOCRAT,0.2%,2,arkansas,county
J. Wolfe,Arkansas County,DEMOCRAT,0.2%,2,arkansas,county
D. Trump,Arkansas County,REPUBLICAN,38.5%,"1,073",arkansas,county
M. Rubio,Arkansas County,REPUBLICAN,28.3%,789,arkansas,county
T. Cruz,Arkansas County,REPUBLICAN,21.3%,593,arkansas,county
B. Carson,Arkansas County,REPUBLICAN,5.2%,146,arkansas,county
J. Kasich,Arkansas County,REPUBLICAN,3.0%,83,arkansas,county
M. Huckabee,Arkansas County,REPUBLICAN,2.0%,57,arkansas,county
J. Bush,Arkansas County,REPUBLICAN,0.9%,25,arkansas,county
C. Christie,Arkansas County,REPUBLICAN,0.5%,14,arkansas,county
R. Paul,Arkansas County,REPUBLICAN,0.2%,6,arkansas,county
C. Fiorina,Arkansas County,REPUBLICAN,0.1%,3,arkansas,county
L. Graham,Arkansas County,REPUBLICAN,0.0%,1,arkansas,county
B. Jindal,Arkansas County,REPUBLICAN,0.0%,0,arkansas,county
R. Santorum,Arkansas County,REPUBLICAN,0.0%,0,arkansas,county
H. Clinton,Ashley County,DEMOCRAT,47.4%,"1,375",arkansas,county
B. Sanders,Ashley County,DEMOCRAT,33.8%,980,arkansas,county
J. Wolfe,Ashley County,DEMOCRAT,9.1%,265,arkansas,county
J. Valentine,Ashley County,DEMOCRAT,3.6%,104,arkansas,county
M. O'Malley,Ashley County,DEMOCRAT,3.2%,93,arkansas,county
R. De La Fuente,Ashley County,DEMOCRAT,2.9%,83,arkansas,county
D. Trump,Ashley County,REPUBLICAN,40.4%,586,arkansas,county
T. Cruz,Ashley County,REPUBLICAN,27.8%,403,arkansas,county
M. Rubio,Ashley County,REPUBLICAN,19.4%,281,arkansas,county
B. Carson,Ashley County,REPUBLICAN,7.2%,104,arkansas,county
J. Kasich,Ashley County,REPUBLICAN,3.1%,45,arkansas,county
M. Huckabee,Ashley County,REPUBLICAN,1.0%,14,arkansas,county
J. Bush,Ashley County,REPUBLICAN,0.6%,9,arkansas,county
C. Fiorina,Ashley County,REPUBLICAN,0.1%,2,arkansas,county
R. Paul,Ashley County,REPUBLICAN,0.1%,2,arkansas,county
C. Christie,Ashley County,REPUBLICAN,0.1%,1,arkansas,county
L. Graham,Ashley County,REPUBLICAN,0.1%,1,arkansas,county
B. Jindal,Ashley County,REPUBLICAN,0.1%,1,arkansas,county
R. Santorum,Ashley County,REPUBLICAN,0.0%,0,arkansas,county
H. Clinton,Baxter County,DEMOCRAT,62.4%,"1,391",arkansas,county
B. Sanders,Baxter County,DEMOCRAT,36.2%,807,arkansas,county
M. O'Malley,Baxter County,DEMOCRAT,0.5%,12,arkansas,county
J. Wolfe,Baxter County,DEMOCRAT,0.4%,8,arkansas,county
J. Valentine,Baxter County,DEMOCRAT,0.3%,7,arkansas,county
R. De La Fuente,Baxter County,DEMOCRAT,0.2%,5,arkansas,county
D. Trump,Baxter County,REPUBLICAN,43.8%,"3,798",arkansas,county
T. Cruz,Baxter County,REPUBLICAN,28.6%,"2,480",arkansas,county
M. Rubio,Baxter County,REPUBLICAN,15.9%,"1,374",arkansas,county
B. Carson,Baxter County,REPUBLICAN,5.2%,452,arkansas,county
J. Kasich,Baxter County,REPUBLICAN,4.3%,376,arkansas,county
M. Huckabee,Baxter County,REPUBLICAN,0.8%,67,arkansas,county
J. Bush,Baxter County,REPUBLICAN,0.6%,52,arkansas,county
C. Christie,Baxter County,REPUBLICAN,0.3%,30,arkansas,county
R. Paul,Baxter County,REPUBLICAN,0.2%,18,arkansas,county
C. Fiorina,Baxter County,REPUBLICAN,0.1%,10,arkansas,county
R. Santorum,Baxter County,REPUBLICAN,0.0%,4,arkansas,county
L. Graham,Baxter County,REPUBLICAN,0.0%,2,arkansas,county
B. Jindal,Baxter County,REPUBLICAN,0.0%,0,arkansas,county
H. Clinton,Benton County,DEMOCRAT,54.1%,"5,650",arkansas,county
B. Sanders,Benton County,DEMOCRAT,44.9%,"4,696",arkansas,county
J. Wolfe,Benton County,DEMOCRAT,0.3%,31,arkansas,county
M. O'Malley,Benton County,DEMOCRAT,0.3%,29,arkansas,county
R. De La Fuente,Benton County,DEMOCRAT,0.2%,23,arkansas,county
J. Valentine,Benton County,DEMOCRAT,0.2%,22,arkansas,county
D. Trump,Benton County,REPUBLICAN,27.9%,"11,828",arkansas,county
M. Rubio,Benton County,REPUBLICAN,30.3%,"12,863",arkansas,county
T. Cruz,Benton County,REPUBLICAN,28.1%,"11,909",arkansas,county
B. Carson,Benton County,REPUBLICAN,6.0%,"2,525",arkansas,county
J. Kasich,Benton County,REPUBLICAN,5.4%,"2,272",arkansas,county
J. Bush,Benton County,REPUBLICAN,0.8%,341,arkansas,county
M. Huckabee,Benton County,REPUBLICAN,0.7%,302,arkansas,county
R. Paul,Benton County,REPUBLICAN,0.4%,171,arkansas,county
C. Fiorina,Benton County,REPUBLICAN,0.1%,59,arkansas,county
C. Christie,Benton County,REPUBLICAN,0.1%,56,arkansas,county
R. Santorum,Benton County,REPUBLICAN,0.1%,29,arkansas,county
L. Graham,Benton County,REPUBLICAN,0.1%,22,arkansas,county
B. Jindal,Benton County,REPUBLICAN,0.0%,17,arkansas,county
H. Clinton,Boone County,DEMOCRAT,59.2%,721,arkansas,county
B. Sanders,Boone County,DEMOCRAT,38.5%,469,arkansas,county
J. Wolfe,Boone County,DEMOCRAT,0.7%,9,arkansas,county
M. O'Malley,Boone County,DEMOCRAT,0.7%,8,arkansas,county
J. Valentine,Boone County,DEMOCRAT,0.7%,8,arkansas,county
R. De La Fuente,Boone County,DEMOCRAT,0.2%,3,arkansas,county
D. Trump,Boone County,REPUBLICAN,40.7%,"2,577",arkansas,county
T. Cruz,Boone County,REPUBLICAN,25.1%,"1,589",arkansas,county
M. Rubio,Boone County,REPUBLICAN,19.2%,"1,213",arkansas,county
B. Carson,Boone County,REPUBLICAN,7.5%,478,arkansas,county
J. Kasich,Boone County,REPUBLICAN,4.2%,267,arkansas,county
M. Huckabee,Boone County,REPUBLICAN,1.7%,105,arkansas,county
J. Bush,Boone County,REPUBLICAN,0.6%,37,arkansas,county
R. Paul,Boone County,REPUBLICAN,0.3%,20,arkansas,county
C. Christie,Boone County,REPUBLICAN,0.3%,16,arkansas,county
C. Fiorina,Boone County,REPUBLICAN,0.2%,12,arkansas,county
R. Santorum,Boone County,REPUBLICAN,0.2%,12,arkansas,county
B. Jindal,Boone County,REPUBLICAN,0.1%,4,arkansas,county
L. Graham,Boone County,REPUBLICAN,0.0%,2,arkansas,county
H. Clinton,Bradley County,DEMOCRAT,83.2%,593,arkansas,county
B. Sanders,Bradley County,DEMOCRAT,14.9%,106,arkansas,county
J. Valentine,Bradley County,DEMOCRAT,0.7%,5,arkansas,county
J. Wolfe,Bradley County,DEMOCRAT,0.7%,5,arkansas,county
M. O'Malley,Bradley County,DEMOCRAT,0.4%,3,arkansas,county
R. De La Fuente,Bradley County,DEMOCRAT,0.1%,1,arkansas,county
D. Trump,Bradley County,REPUBLICAN,44.3%,770,arkansas,county
T. Cruz,Bradley County,REPUBLICAN,22.6%,393,arkansas,county
M. Rubio,Bradley County,REPUBLICAN,20.8%,361,arkansas,county
B. Carson,Bradley County,REPUBLICAN,5.4%,94,arkansas,county
J. Kasich,Bradley County,REPUBLICAN,2.6%,45,arkansas,county
M. Huckabee,Bradley County,REPUBLICAN,2.4%,42,arkansas,county
J. Bush,Bradley County,REPUBLICAN,1.2%,20,arkansas,county
B. Jindal,Bradley County,REPUBLICAN,0.2%,3,arkansas,county
R. Paul,Bradley County,REPUBLICAN,0.2%,3,arkansas,county
C. Fiorina,Bradley County,REPUBLICAN,0.1%,2,arkansas,county
L. Graham,Bradley County,REPUBLICAN,0.1%,2,arkansas,county
R. Santorum,Bradley County,REPUBLICAN,0.1%,2,arkansas,county
C. Christie,Bradley County,REPUBLICAN,0.1%,1,arkansas,county
H. Clinton,Calhoun County,DEMOCRAT,45.0%,413,arkansas,county
B. Sanders,Calhoun County,DEMOCRAT,34.0%,312,arkansas,county
M. O'Malley,Calhoun County,DEMOCRAT,7.6%,70,arkansas,county
J. Wolfe,Calhoun County,DEMOCRAT,6.4%,59,arkansas,county
J. Valentine,Calhoun County,DEMOCRAT,4.6%,42,arkansas,county
R. De La Fuente,Calhoun County,DEMOCRAT,2.3%,21,arkansas,county
D. Trump,Calhoun County,REPUBLICAN,41.6%,172,arkansas,county
T. Cruz,Calhoun County,REPUBLICAN,34.4%,142,arkansas,county
M. Rubio,Calhoun County,REPUBLICAN,18.4%,76,arkansas,county
B. Carson,Calhoun County,REPUBLICAN,2.7%,11,arkansas,county
M. Huckabee,Calhoun County,REPUBLICAN,1.2%,5,arkansas,county
J. Kasich,Calhoun County,REPUBLICAN,1.0%,4,arkansas,county
R. Paul,Calhoun County,REPUBLICAN,0.7%,3,arkansas,county
J. Bush,Calhoun County,REPUBLICAN,0.0%,0,arkansas,county
C. Christie,Calhoun County,REPUBLICAN,0.0%,0,arkansas,county
C. Fiorina,Calhoun County,REPUBLICAN,0.0%,0,arkansas,county
L. Graham,Calhoun County,REPUBLICAN,0.0%,0,arkansas,county
B. Jindal,Calhoun County,REPUBLICAN,0.0%,0,arkansas,county
R. Santorum,Calhoun County,REPUBLICAN,0.0%,0,arkansas,county
H. Clinton,Carroll County,DEMOCRAT,0.0%,0,arkansas,county
R. De La Fuente,Carroll County,DEMOCRAT,0.0%,0,arkansas,county
M. O'Malley,Carroll County,DEMOCRAT,0.0%,0,arkansas,county
B. Sanders,Carroll County,DEMOCRAT,0.0%,0,arkansas,county
J. Valentine,Carroll County,DEMOCRAT,0.0%,0,arkansas,county
J. Wolfe,Carroll County,DEMOCRAT,0.0%,0,arkansas,county
D. Trump,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
J. Bush,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
B. Carson,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
C. Christie,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
T. Cruz,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
C. Fiorina,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
L. Graham,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
M. Huckabee,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
B. Jindal,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
J. Kasich,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
R. Paul,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
M. Rubio,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
R. Santorum,Carroll County,REPUBLICAN,0.0%,0,arkansas,county
H. Clinton,Chicot County,DEMOCRAT,81.1%,"1,370",arkansas,county
B. Sanders,Chicot County,DEMOCRAT,14.6%,247,arkansas,county
M. O'Malley,Chicot County,DEMOCRAT,1.8%,30,arkansas,county
J. Valentine,Chicot County,DEMOCRAT,0.9%,15,arkansas,county
J. Wolfe,Chicot County,DEMOCRAT,0.9%,15,arkansas,county
R. De La Fuente,Chicot County,DEMOCRAT,0.8%,13,arkansas,county
D. Trump,Chicot County,REPUBLICAN,51.1%,416,arkansas,county
M. Rubio,Chicot County,REPUBLICAN,19.9%,162,arkansas,county
T. Cruz,Chicot County,REPUBLICAN,18.7%,152,arkansas,county
B. Carson,Chicot County,REPUBLICAN,4.3%,35,arkansas,county
M. Huckabee,Chicot County,REPUBLICAN,2.7%,22,arkansas,county
J. Kasich,Chicot County,REPUBLICAN,2.5%,20,arkansas,county
L. Graham,Chicot County,REPUBLICAN,0.2%,2,arkansas,county
B. Jindal,Chicot County,REPUBLICAN,0.2%,2,arkansas,county
J. Bush,Chicot County,REPUBLICAN,0.1%,1,arkansas,county
C. Christie,Chicot County,REPUBLICAN,0.1%,1,arkansas,county
R. Paul,Chicot County,REPUBLICAN,0.1%,1,arkansas,county
C. Fiorina,Chicot County,REPUBLICAN,0.0%,0,arkansas,county
R. Santorum,Chicot County,REPUBLICAN,0.0%,0,arkansas,county
H. Clinton,Clark County,DEMOCRAT,75.2%,"1,650",arkansas,county
B. Sanders,Clark County,DEMOCRAT,22.5%,494,arkansas,county
J. Wolfe,Clark County,DEMOCRAT,1.0%,23,arkansas,county
M. O'Malley,Clark County,DEMOCRAT,0.8%,17,arkansas,county
J. Valentine,Clark County,DEMOCRAT,0.3%,6,arkansas,county
R. De La Fuente,Clark County,DEMOCRAT,0.2%,5,arkansas,county
D. Trump,Clark County,REPUBLICAN,26.4%,694,arkansas,county
T. Cruz,Clark County,REPUBLICAN,34.5%,907,arkansas,county
M. Rubio,Clark County,REPUBLICAN,28.5%,750,arkansas,county
B. Carson,Clark County,REPUBLICAN,5.5%,144,arkansas,county
J. Kasich,Clark County,REPUBLICAN,3.9%,102,arkansas,county
M. Huckabee,Clark County,REPUBLICAN,0.6%,15,arkansas,county
R. Paul,Clark County,REPUBLICAN,0.3%,8,arkansas,county
J. Bush,Clark County,REPUBLICAN,0.2%,6,arkansas,county
C. Christie,Clark County,REPUBLICAN,0.1%,2,arkansas,county
C. Fiorina,Clark County,REPUBLICAN,0.0%,1,arkansas,county
B. Jindal,Clark County,REPUBLICAN,0.0%,1,arkansas,county
R. Santorum,Clark County,REPUBLICAN,0.0%,1,arkansas,county
L. Graham,Clark County,REPUBLICAN,0.0%,0,arkansas,county
 H. Clinton,Clay County,DEMOCRAT,52.0%,960,arkansas,county
 B. Sanders,Clay County,DEMOCRAT,35.5%,656,arkansas,county
 M. O'Malley,Clay County,DEMOCRAT,4.6%,85,arkansas,county
 J. Wolfe,Clay County,DEMOCRAT,3.8%,70,arkansas,county
 J. Valentine,Clay County,DEMOCRAT,2.4%,44,arkansas,county
 R. De La Fuente,Clay County,DEMOCRAT,1.7%,32,arkansas,county
 D. Trump,Clay County,REPUBLICAN,40.7%,339,arkansas,county
 T. Cruz,Clay County,REPUBLICAN,33.1%,276,arkansas,county
 M. Rubio,Clay County,REPUBLICAN,16.3%,136,arkansas,county
 B. Carson,Clay County,REPUBLICAN,5.8%,48,arkansas,county
 J. Kasich,Clay County,REPUBLICAN,1.8%,15,arkansas,county
 M. Huckabee,Clay County,REPUBLICAN,1.3%,11,arkansas,county
 J. Bush,Clay County,REPUBLICAN,0.7%,6,arkansas,county
 C. Christie,Clay County,REPUBLICAN,0.1%,1,arkansas,county
 L. Graham,Clay County,REPUBLICAN,0.1%,1,arkansas,county
 C. Fiorina,Clay County,REPUBLICAN,0.0%,0,arkansas,county
 B. Jindal,Clay County,REPUBLICAN,0.0%,0,arkansas,county
 R. Paul,Clay County,REPUBLICAN,0.0%,0,arkansas,county
 R. Santorum,Clay County,REPUBLICAN,0.0%,0,arkansas,county
 H. Clinton,Cleburne County,DEMOCRAT,68.7%,758,arkansas,county
 B. Sanders,Cleburne County,DEMOCRAT,28.6%,316,arkansas,county
 J. Wolfe,Cleburne County,DEMOCRAT,1.2%,13,arkansas,county
 M. O'Malley,Cleburne County,DEMOCRAT,0.6%,7,arkansas,county
 R. De La Fuente,Cleburne County,DEMOCRAT,0.5%,5,arkansas,county
 J. Valentine,Cleburne County,DEMOCRAT,0.5%,5,arkansas,county
 D. Trump,Cleburne County,REPUBLICAN,36.8%,"2,530",arkansas,county
 T. Cruz,Cleburne County,REPUBLICAN,32.4%,"2,227",arkansas,county
 M. Rubio,Cleburne County,REPUBLICAN,20.3%,"1,392",arkansas,county
 B. Carson,Cleburne County,REPUBLICAN,4.9%,339,arkansas,county
 J. Kasich,Cleburne County,REPUBLICAN,3.1%,210,arkansas,county
 M. Huckabee,Cleburne County,REPUBLICAN,1.2%,83,arkansas,county
 J. Bush,Cleburne County,REPUBLICAN,0.7%,47,arkansas,county
 C. Christie,Cleburne County,REPUBLICAN,0.2%,14,arkansas,county
 R. Paul,Cleburne County,REPUBLICAN,0.2%,13,arkansas,county
 C. Fiorina,Cleburne County,REPUBLICAN,0.1%,6,arkansas,county
 L. Graham,Cleburne County,REPUBLICAN,0.1%,6,arkansas,county
 R. Santorum,Cleburne County,REPUBLICAN,0.0%,3,arkansas,county
 B. Jindal,Cleburne County,REPUBLICAN,0.0%,1,arkansas,county
 H. Clinton,Cleveland County,DEMOCRAT,68.8%,382,arkansas,county
 B. Sanders,Cleveland County,DEMOCRAT,24.7%,137,arkansas,county
 J. Wolfe,Cleveland County,DEMOCRAT,1.8%,10,arkansas,county
 R. De La Fuente,Cleveland County,DEMOCRAT,1.6%,9,arkansas,county
 J. Valentine,Cleveland County,DEMOCRAT,1.6%,9,arkansas,county
 M. O'Malley,Cleveland County,DEMOCRAT,1.4%,8,arkansas,county
 T. Cruz,Cleveland County,REPUBLICAN,36.8%,550,arkansas,county
 D. Trump,Cleveland County,REPUBLICAN,33.6%,503,arkansas,county
 M. Rubio,Cleveland County,REPUBLICAN,20.9%,313,arkansas,county
 B. Carson,Cleveland County,REPUBLICAN,4.1%,62,arkansas,county
 J. Kasich,Cleveland County,REPUBLICAN,2.1%,32,arkansas,county
 M. Huckabee,Cleveland County,REPUBLICAN,1.4%,21,arkansas,county
 J. Bush,Cleveland County,REPUBLICAN,0.5%,7,arkansas,county
 C. Christie,Cleveland County,REPUBLICAN,0.1%,2,arkansas,county
 C. Fiorina,Cleveland County,REPUBLICAN,0.1%,1,arkansas,county
 L. Graham,Cleveland County,REPUBLICAN,0.1%,1,arkansas,county
 B. Jindal,Cleveland County,REPUBLICAN,0.1%,1,arkansas,county
 R. Paul,Cleveland County,REPUBLICAN,0.1%,1,arkansas,county
 R. Santorum,Cleveland County,REPUBLICAN,0.1%,1,arkansas,county
 H. Clinton,Columbia County,DEMOCRAT,73.8%,"1,008",arkansas,county
 B. Sanders,Columbia County,DEMOCRAT,22.4%,306,arkansas,county
 J. Wolfe,Columbia County,DEMOCRAT,1.5%,21,arkansas,county
 M. O'Malley,Columbia County,DEMOCRAT,1.0%,13,arkansas,county
 J. Valentine,Columbia County,DEMOCRAT,0.9%,12,arkansas,county
 R. De La Fuente,Columbia County,DEMOCRAT,0.4%,5,arkansas,county
 D. Trump,Columbia County,REPUBLICAN,36.5%,"1,149",arkansas,county
 T. Cruz,Columbia County,REPUBLICAN,30.0%,943,arkansas,county
 M. Rubio,Columbia County,REPUBLICAN,20.1%,634,arkansas,county
 B. Carson,Columbia County,REPUBLICAN,6.6%,208,arkansas,county
 J. Kasich,Columbia County,REPUBLICAN,3.3%,103,arkansas,county
 M. Huckabee,Columbia County,REPUBLICAN,1.5%,46,arkansas,county
 J. Bush,Columbia County,REPUBLICAN,1.1%,34,arkansas,county
 R. Paul,Columbia County,REPUBLICAN,0.3%,10,arkansas,county
 R. Santorum,Columbia County,REPUBLICAN,0.3%,9,arkansas,county
 C. Christie,Columbia County,REPUBLICAN,0.1%,4,arkansas,county
 L. Graham,Columbia County,REPUBLICAN,0.1%,3,arkansas,county
 B. Jindal,Columbia County,REPUBLICAN,0.1%,3,arkansas,county
 C. Fiorina,Columbia County,REPUBLICAN,0.1%,2,arkansas,county
 H. Clinton,Conway County,DEMOCRAT,62.1%,"1,755",arkansas,county
 B. Sanders,Conway County,DEMOCRAT,29.7%,840,arkansas,county
 M. O'Malley,Conway County,DEMOCRAT,2.8%,79,arkansas,county
 R. De La Fuente,Conway County,DEMOCRAT,2.4%,68,arkansas,county
 J. Wolfe,Conway County,DEMOCRAT,1.6%,46,arkansas,county
 J. Valentine,Conway County,DEMOCRAT,1.3%,37,arkansas,county
 D. Trump,Conway County,REPUBLICAN,36.2%,805,arkansas,county
 T. Cruz,Conway County,REPUBLICAN,33.3%,741,arkansas,county
 M. Rubio,Conway County,REPUBLICAN,22.4%,498,arkansas,county
 B. Carson,Conway County,REPUBLICAN,4.5%,101,arkansas,county
 J. Kasich,Conway County,REPUBLICAN,1.4%,31,arkansas,county
 M. Huckabee,Conway County,REPUBLICAN,1.2%,27,arkansas,county
 J. Bush,Conway County,REPUBLICAN,0.4%,8,arkansas,county
 C. Christie,Conway County,REPUBLICAN,0.3%,6,arkansas,county
 R. Santorum,Conway County,REPUBLICAN,0.1%,3,arkansas,county
 L. Graham,Conway County,REPUBLICAN,0.1%,2,arkansas,county
 R. Paul,Conway County,REPUBLICAN,0.1%,2,arkansas,county
 B. Jindal,Conway County,REPUBLICAN,0.0%,1,arkansas,county
 C. Fiorina,Conway County,REPUBLICAN,0.0%,0,arkansas,county
 H. Clinton,Craighead County,DEMOCRAT,64.0%,"3,543",arkansas,county
 B. Sanders,Craighead County,DEMOCRAT,33.6%,"1,862",arkansas,county
 M. O'Malley,Craighead County,DEMOCRAT,0.8%,42,arkansas,county
 J. Wolfe,Craighead County,DEMOCRAT,0.7%,40,arkansas,county
 J. Valentine,Craighead County,DEMOCRAT,0.7%,37,arkansas,county
 R. De La Fuente,Craighead County,DEMOCRAT,0.2%,11,arkansas,county
 T. Cruz,Craighead County,REPUBLICAN,33.4%,"4,108",arkansas,county
 D. Trump,Craighead County,REPUBLICAN,27.9%,"3,429",arkansas,county
 M. Rubio,Craighead County,REPUBLICAN,25.5%,"3,142",arkansas,county
 B. Carson,Craighead County,REPUBLICAN,6.9%,851,arkansas,county
 J. Kasich,Craighead County,REPUBLICAN,3.9%,477,arkansas,county
 M. Huckabee,Craighead County,REPUBLICAN,1.0%,126,arkansas,county
 J. Bush,Craighead County,REPUBLICAN,0.9%,105,arkansas,county
 R. Paul,Craighead County,REPUBLICAN,0.2%,28,arkansas,county
 C. Christie,Craighead County,REPUBLICAN,0.2%,24,arkansas,county
 R. Santorum,Craighead County,REPUBLICAN,0.1%,8,arkansas,county
 C. Fiorina,Craighead County,REPUBLICAN,0.0%,6,arkansas,county
 L. Graham,Craighead County,REPUBLICAN,0.0%,5,arkansas,county
 B. Jindal,Craighead County,REPUBLICAN,0.0%,3,arkansas,county
 H. Clinton,Crawford County,DEMOCRAT,62.5%,"1,586",arkansas,county
 B. Sanders,Crawford County,DEMOCRAT,34.5%,874,arkansas,county
 M. O'Malley,Crawford County,DEMOCRAT,1.4%,36,arkansas,county
 R. De La Fuente,Crawford County,DEMOCRAT,0.6%,16,arkansas,county
 J. Valentine,Crawford County,DEMOCRAT,0.5%,12,arkansas,county
 J. Wolfe,Crawford County,DEMOCRAT,0.5%,12,arkansas,county
 T. Cruz,Crawford County,REPUBLICAN,37.1%,"3,926",arkansas,county
 D. Trump,Crawford County,REPUBLICAN,32.0%,"3,392",arkansas,county
 M. Rubio,Crawford County,REPUBLICAN,21.2%,"2,251",arkansas,county
 B. Carson,Crawford County,REPUBLICAN,5.6%,591,arkansas,county
 J. Kasich,Crawford County,REPUBLICAN,2.3%,249,arkansas,county
 M. Huckabee,Crawford County,REPUBLICAN,0.9%,97,arkansas,county
 J. Bush,Crawford County,REPUBLICAN,0.3%,32,arkansas,county
 R. Santorum,Crawford County,REPUBLICAN,0.2%,18,arkansas,county
 C. Christie,Crawford County,REPUBLICAN,0.2%,17,arkansas,county
 R. Paul,Crawford County,REPUBLICAN,0.1%,12,arkansas,county
 C. Fiorina,Crawford County,REPUBLICAN,0.0%,5,arkansas,county
 L. Graham,Crawford County,REPUBLICAN,0.0%,5,arkansas,county
 B. Jindal,Crawford County,REPUBLICAN,0.0%,1,arkansas,county
 H. Clinton,Crittenden County,DEMOCRAT,76.4%,"3,379",arkansas,county
 B. Sanders,Crittenden County,DEMOCRAT,16.3%,722,arkansas,county
 J. Wolfe,Crittenden County,DEMOCRAT,4.1%,180,arkansas,county
 M. O'Malley,Crittenden County,DEMOCRAT,1.3%,59,arkansas,county
 R. De La Fuente,Crittenden County,DEMOCRAT,1.0%,46,arkansas,county
 J. Valentine,Crittenden County,DEMOCRAT,0.8%,37,arkansas,county
